accession,type,species,description,last_update,factors
E-GEOD-21048,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-15389,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-16797,differential,Homo sapiens,Differential expression comparing clinical treatment,,clinical treatment
E-GEOD-17743,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-21293,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-21912,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-20950,differential,Homo sapiens,Differential expression comparing organism part,,organism part
E-GEOD-17385,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-22278,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-GEOD-19743,differential,Homo sapiens,"Differential expression comparing developmental stage, injury",,"developmental stage, injury"
E-GEOD-21899,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-21668,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-22097,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-1786,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-2461,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-22501,differential,Homo sapiens,Differential expression comparing organism part,,organism part
E-GEOD-22529,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-21546,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-GEOD-19272,differential,Mus musculus,Differential expression comparing stimulus,,stimulus
E-GEOD-26246,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-29632,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-2565,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-29948,differential,Vitis vinifera,Differential expression comparing conditions,,
E-GEOD-30362,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-31564,differential,Drosophila melanogaster,Differential expression comparing infect,,infect
E-GEOD-30526,differential,Rattus norvegicus,Differential expression comparing conditions,,
E-GEOD-59241,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-31664,differential,Vitis vinifera,Differential expression comparing compound,,compound
E-GEOD-31660,differential,Vitis vinifera,"Differential expression comparing infect, developmental stage",,"infect, developmental stage"
E-GEOD-71312,differential,Arabidopsis thaliana,Differential expression comparing organism part,,organism part
E-GEOD-68238,differential,Mus musculus,Differential expression comparing fraction,,fraction
E-GEOD-31875,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-30495,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-31973,differential,Rattus norvegicus,Differential expression comparing diet,,diet
E-GEOD-32683,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-3223,differential,Mus musculus,Differential expression comparing developmental stage,,developmental stage
E-GEOD-72755,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-35357,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-3919,differential,Caenorhabditis elegans,Differential expression comparing compound,,compound
E-GEOD-39012,differential,Caenorhabditis elegans,Differential expression comparing compound,,compound
E-GEOD-36272,differential,Oryza sativa,"Differential expression comparing infect, ecotype",,"infect, ecotype"
E-GEOD-39009,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-39194,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-GEOD-38512,differential,Bos taurus,Differential expression comparing conditions,,
E-GEOD-39082,differential,Mus musculus,Differential expression comparing treatment,,treatment
E-GEOD-39514,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-38997,differential,Caenorhabditis elegans,Differential expression comparing treatment,,treatment
E-MEXP-1195,differential,Rattus norvegicus,"Differential expression comparing disease, strain",,"disease, strain"
E-MEXP-1232,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-MEXP-1237,differential,Mus musculus,Differential expression comparing growth condition,,growth condition
E-MEXP-1288,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MEXP-1361,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-21750,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-22459,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-32893,differential,Homo sapiens,Differential expression comparing infect,,infect
E-GEOD-3058,differential,Homo sapiens,Differential expression comparing sex,,sex
E-GEOD-3183,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-2513,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-22779,differential,Homo sapiens,"Differential expression comparing disease, compound",,"disease, compound"
E-GEOD-37474,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-71671,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-58516,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-67920,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-1401,differential,Mus musculus,Differential expression comparing compound,,compound
E-MEXP-1407,differential,Saccharomyces cerevisiae,Differential expression comparing conditions,,
E-MEXP-1430,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MEXP-1483,differential,Mus musculus,"Differential expression comparing disease, compound",,"disease, compound"
E-MEXP-1495,differential,Arabidopsis thaliana,Differential expression comparing ecotype,,ecotype
E-MEXP-1551,differential,Saccharomyces cerevisiae,Differential expression comparing phenotype,,phenotype
E-MEXP-1597,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-1702,differential,Mus musculus,Differential expression comparing compound,,compound
E-MEXP-1755,differential,Mus musculus,Differential expression comparing diet,,diet
E-MEXP-1810,differential,Caenorhabditis elegans,Differential expression comparing compound,,compound
E-MEXP-1863,differential,Arabidopsis thaliana,Differential expression comparing environmental stress,,environmental stress
E-MEXP-1920,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-1921,differential,Drosophila melanogaster,Differential expression comparing organism part,,organism part
E-MEXP-1967,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-1993,differential,Rattus norvegicus,Differential expression comparing organism part,,organism part
E-MEXP-2070,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MEXP-2072,differential,Mus musculus,"Differential expression comparing cell type, strain, disease",,"cell type, strain, disease"
E-MEXP-2074,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MEXP-2096,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-2123,differential,Saccharomyces cerevisiae,Differential expression comparing conditions,,
E-MEXP-2125,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MEXP-2126,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MEXP-2200,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-2208,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-2350,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-2358,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-2466,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-MEXP-2510,differential,Drosophila melanogaster,Differential expression comparing infect,,infect
E-MEXP-2523,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MEXP-2527,differential,Rattus norvegicus,"Differential expression comparing fraction, compound",,"fraction, compound"
E-MEXP-2568,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-2580,differential,Drosophila melanogaster,Differential expression comparing developmental stage,,developmental stage
E-MEXP-2583,differential,Rattus norvegicus,Differential expression comparing treatment,,treatment
E-MEXP-2615,differential,Mus musculus,Differential expression comparing infect,,infect
E-MEXP-2652,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MEXP-2796,differential,Mus musculus,Differential expression comparing disease,,disease
E-MEXP-3350,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-3355,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-3392,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-MEXP-3393,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-MEXP-3394,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-MEXP-3490,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MEXP-3493,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-3495,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-3497,differential,Bos taurus,"Differential expression comparing infect, organism part",,"infect, organism part"
E-MEXP-3479,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-1690,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MEXP-3507,differential,Rattus norvegicus,Differential expression comparing conditions,,
E-MEXP-3609,differential,Drosophila melanogaster,Differential expression comparing organism part,,organism part
E-GEOD-35240,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-34907,differential,Mus musculus,"Differential expression comparing cell line, treatment",,"cell line, treatment"
E-GEOD-35396,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-GEOD-36151,differential,Saccharomyces cerevisiae,Differential expression comparing strain,,strain
E-GEOD-36906,differential,Sus scrofa,Differential expression comparing conditions,,
E-GEOD-36445,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-37098,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-37195,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-37209,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-37218,differential,Mus musculus,Differential expression comparing diet,,diet
E-GEOD-36437,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-37148,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-37319,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-33302,differential,Mus musculus,Differential expression comparing treatment,,treatment
E-GEOD-36810,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-35825,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-35961,differential,Mus musculus,Differential expression comparing diet,,diet
E-GEOD-3621,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-38333,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-23740,differential,Rattus norvegicus,Differential expression comparing diet,,diet
E-GEOD-38341,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-GEOD-36888,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-23880,differential,Drosophila melanogaster,"Differential expression comparing developmental stage, environmental stress",,"developmental stage, environmental stress"
E-GEOD-37286,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-38257,differential,Mus musculus,Differential expression comparing disease,,disease
E-GEOD-40127,differential,Caenorhabditis elegans,Differential expression comparing conditions,,
E-GEOD-38283,differential,Mus musculus,Differential expression comparing disease,,disease
E-GEOD-40261,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-3489,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-40513,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-42061,differential,Mus musculus,"Differential expression comparing infect, phenotype",,"infect, phenotype"
E-GEOD-24142,differential,Mus musculus,Differential expression comparing developmental stage,,developmental stage
E-GEOD-16538,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-35642,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-36933,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-36389,differential,Homo sapiens,Differential expression comparing cell type,,cell type
E-GEOD-23984,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-37049,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-3678,differential,Homo sapiens,Differential expression comparing sampling site,,sampling site
E-GEOD-37258,differential,Homo sapiens,"Differential expression comparing cell type, disease",,"cell type, disease"
E-GEOD-36547,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-39843,differential,Homo sapiens,"Differential expression comparing disease, compound",,"disease, compound"
E-GEOD-42174,differential,Homo sapiens,Differential expression comparing cell line,,cell line
E-GEOD-39497,differential,Homo sapiens,Differential expression comparing cell line,,cell line
E-GEOD-41042,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-4135,differential,Saccharomyces cerevisiae,Differential expression comparing conditions,,
E-GEOD-41418,differential,Mus musculus,Differential expression comparing disease,,disease
E-GEOD-41420,differential,Rattus norvegicus,Differential expression comparing diet,,diet
E-GEOD-42895,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-GEOD-4512,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-4695,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-48438,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-GEOD-48804,differential,Danio rerio,Differential expression comparing compound,,compound
E-GEOD-48805,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-GEOD-48936,differential,Mus musculus,Differential expression comparing disease,,disease
E-GEOD-490,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-GEOD-491,differential,Rattus norvegicus,"Differential expression comparing growth condition, diet",,"growth condition, diet"
E-MEXP-3678,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-MEXP-3739,differential,Rattus norvegicus,Differential expression comparing phenotype,,phenotype
E-MEXP-3745,differential,Mus musculus,"Differential expression comparing disease, compound",,"disease, compound"
E-GEOD-1148,differential,Mus musculus,"Differential expression comparing sex, organism part",,"sex, organism part"
E-MEXP-3763,differential,Mus musculus,Differential expression comparing compound,,compound
E-MEXP-3766,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-34773,differential,Mus musculus,Differential expression comparing diet,,diet
E-GEOD-35243,differential,Mus musculus,Differential expression comparing developmental stage,,developmental stage
E-GEOD-35395,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-35354,differential,Caenorhabditis elegans,Differential expression comparing compound,,compound
E-GEOD-3541,differential,Rattus norvegicus,Differential expression comparing environmental stress,,environmental stress
E-GEOD-35471,differential,Drosophila melanogaster,Differential expression comparing phenotype,,phenotype
E-GEOD-38409,differential,Mus musculus,Differential expression comparing sex,,sex
E-GEOD-39196,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-GEOD-38001,differential,Mus musculus,Differential expression comparing growth condition,,growth condition
E-GEOD-38138,differential,Mus musculus,"Differential expression comparing diet, phenotype",,"diet, phenotype"
E-GEOD-40377,differential,Mus musculus,"Differential expression comparing compound, organism part",,"compound, organism part"
E-MEXP-3786,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-3798,differential,Drosophila melanogaster,Differential expression comparing cell type,,cell type
E-MEXP-3814,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-3925,differential,Drosophila melanogaster,Differential expression comparing infect,,infect
E-MEXP-424,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-503,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-509,differential,Arabidopsis thaliana,Differential expression comparing infect,,infect
E-MEXP-582,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-76,differential,Mus musculus,Differential expression comparing injury,,injury
E-MEXP-3778,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-35008,differential,Homo sapiens,"Differential expression comparing cell type, disease",,"cell type, disease"
E-GEOD-35561,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-36287,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-GEOD-41386,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-4883,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-77,differential,Mus musculus,Differential expression comparing treatment,,treatment
E-GEOD-8150,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-8330,differential,Drosophila melanogaster,Differential expression comparing compound,,compound
E-GEOD-8775,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-GEOD-9889,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MEXP-1077,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-MEXP-1135,differential,Mus musculus,"Differential expression comparing disease, infect",,"disease, infect"
E-MEXP-1146,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-1169,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-MEXP-1278,differential,Rattus norvegicus,Differential expression comparing injury,,injury
E-MEXP-1342,differential,Mus musculus,Differential expression comparing compound,,compound
E-MEXP-1358,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-1383,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-1413,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-1636,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MEXP-1711,differential,Mus musculus,Differential expression comparing sex,,sex
E-MEXP-1808,differential,Caenorhabditis elegans,Differential expression comparing compound,,compound
E-MEXP-1862,differential,Mus musculus,Differential expression comparing infect,,infect
E-MEXP-1912,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-GEOD-35322,differential,Mus musculus,Differential expression comparing sex,,sex
E-MTAB-3914,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-3486,differential,Mus musculus,"Differential expression comparing environmental stress, organism part",,"environmental stress, organism part"
E-GEOD-35435,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-3930,differential,Gallus gallus,Differential expression comparing compound,,compound
E-GEOD-37859,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-GEOD-39687,differential,Oryza sativa,"Differential expression comparing phenotype, organism part",,"phenotype, organism part"
E-GEOD-40713,differential,Rattus norvegicus,"Differential expression comparing compound, sex",,"compound, sex"
E-GEOD-49664,differential,Mus musculus,Differential expression comparing cell type,,cell type
E-GEOD-5131,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-GEOD-5305,differential,Mus musculus,Differential expression comparing developmental stage,,developmental stage
E-GEOD-5509,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-MEXP-740,differential,Homo sapiens,Differential expression comparing organism part,,organism part
E-MEXP-1273,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-1274,differential,Homo sapiens,"Differential expression comparing infect, phenotype",,"infect, phenotype"
E-MEXP-1335,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-1336,differential,Homo sapiens,Differential expression comparing diet,,diet
E-MEXP-1337,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-149,differential,Homo sapiens,"Differential expression comparing disease, compound",,"disease, compound"
E-MEXP-1290,differential,Homo sapiens,"Differential expression comparing cell type, infect",,"cell type, infect"
E-GEOD-34880,differential,Homo sapiens,"Differential expression comparing disease, compound",,"disease, compound"
E-GEOD-39338,differential,Homo sapiens,Differential expression comparing compound,,compound
E-GEOD-40611,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-40613,differential,Homo sapiens,Differential expression comparing cell type,,cell type
E-GEOD-7819,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-9692,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-8823,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-5370,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-5959,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-GEOD-6085,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-6197,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-GEOD-6285,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-18787,differential,Oryza sativa,Differential expression comparing compound,,compound
E-GEOD-6299,differential,Rattus norvegicus,Differential expression comparing irradiate,,irradiate
E-GEOD-6300,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MEXP-1957,differential,Arabidopsis thaliana,Differential expression comparing treatment,,treatment
E-GEOD-6487,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-GEOD-6511,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-6614,differential,Mus musculus,Differential expression comparing compound,,compound
E-GEOD-6688,differential,Mus musculus,Differential expression comparing infect,,infect
E-GEOD-6765,differential,Mus musculus,Differential expression comparing infect,,infect
E-GEOD-760,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-776,differential,Rattus norvegicus,Differential expression comparing disease,,disease
E-MTAB-3942,differential,Canis lupus familiaris,Differential expression comparing infect,,infect
E-MEXP-1960,differential,Rattus norvegicus,Differential expression comparing compound,,compound
E-MEXP-2082,differential,Drosophila melanogaster,"Differential expression comparing growth condition, sex",,"growth condition, sex"
E-MEXP-2189,differential,Mus musculus,Differential expression comparing treatment,,treatment
E-MEXP-2192,differential,Mus musculus,Differential expression comparing compound,,compound
E-MEXP-2238,differential,Mus musculus,Differential expression comparing developmental stage,,developmental stage
E-MEXP-2248,differential,Mus musculus,Differential expression comparing developmental stage,,developmental stage
E-MEXP-2320,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MEXP-2435,differential,Arabidopsis thaliana,Differential expression comparing environmental stress,,environmental stress
E-MEXP-2498,differential,Mus musculus,Differential expression comparing treatment,,treatment
E-MEXP-2505,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-2514,differential,Rattus norvegicus,"Differential expression comparing disease, strain, compound",,"disease, strain, compound"
E-MEXP-2642,differential,Gallus gallus,Differential expression comparing compound,,compound
E-MEXP-3202,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-3734,differential,Mus musculus,Differential expression comparing disease,,disease
E-MEXP-495,differential,Mus musculus,Differential expression comparing organism part,,organism part
E-MEXP-701,differential,Mus musculus,Differential expression comparing compound,,compound
E-MEXP-2000,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-3682,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-1956,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-3635,differential,Homo sapiens,Differential expression comparing infect,,infect
E-MEXP-2115,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-2449,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-MEXP-1996,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-3641,differential,Homo sapiens,Differential expression comparing cell type,,cell type
E-MEXP-2657,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-1913,differential,Homo sapiens,Differential expression comparing phenotype,,phenotype
E-GEOD-7114,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-5681,differential,Homo sapiens,Differential expression comparing treatment,,treatment
E-GEOD-7179,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-6863,differential,Homo sapiens,Differential expression comparing growth condition,,growth condition
E-MEXP-893,differential,Mus musculus,Differential expression comparing diet,,diet
E-MTAB-3971,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-3975,differential,Mus musculus,Differential expression comparing phenotype,,phenotype
E-MTAB-3976,differential,Mus musculus,Differential expression comparing conditions,,
E-GEOD-28297,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-1656,differential,Rattus norvegicus,"Differential expression comparing infect, organism part",,"infect, organism part"
E-MEXP-1717,differential,Mus musculus,Differential expression comparing disease,,disease
E-MEXP-2249,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-2282,differential,Mus musculus,Differential expression comparing compound,,compound
E-MEXP-3444,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-1030,differential,Mus musculus,Differential expression comparing conditions,,
E-MEXP-1179,differential,Drosophila melanogaster,Differential expression comparing conditions,,
E-MEXP-873,differential,Rattus norvegicus,Differential expression comparing disease,,disease
E-MEXP-1942,differential,Mus musculus,"Differential expression comparing infect, strain",,"infect, strain"
E-MEXP-2554,differential,Mus musculus,"Differential expression comparing infect, cell line",,"infect, cell line"
E-MEXP-82,differential,Mus musculus,Differential expression comparing compound,,compound
E-MEXP-1372,differential,Homo sapiens,Differential expression comparing growth condition,,growth condition
E-MEXP-1216,differential,Homo sapiens,Differential expression comparing cell type,,cell type
E-MEXP-930,differential,Homo sapiens,Differential expression comparing cell type,,cell type
E-MEXP-1599,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-3582,differential,Homo sapiens,"Differential expression comparing infect, organism part",,"infect, organism part"
E-MEXP-1194,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-858,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-1192,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-3761,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-2010,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-941,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-2069,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MEXP-1171,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-2160,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-714,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-1140,differential,Homo sapiens,Differential expression comparing organism part,,organism part
E-MEXP-1230,differential,Homo sapiens,Differential expression comparing growth condition,,growth condition
E-MEXP-1601,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-3521,differential,Homo sapiens,"Differential expression comparing cell type, infect",,"cell type, infect"
E-MEXP-2645,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-1389,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-1103,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-2218,differential,Homo sapiens,Differential expression comparing conditions,,
E-MEXP-2360,differential,Homo sapiens,Differential expression comparing cell type,,cell type
E-MEXP-2128,differential,Homo sapiens,Differential expression comparing compound,,compound
E-MEXP-3756,differential,Homo sapiens,Differential expression comparing disease,,disease
E-MTAB-3956,differential,Homo sapiens,Differential expression comparing disease,,disease
E-GEOD-42024,differential,Homo sapiens,Differential expression comparing conditions,,
E-GEOD-9103,differential,Homo sapiens,Differential expression comparing developmental stage,,developmental stage
E-MTAB-1333,differential,Caenorhabditis elegans,Differential expression comparing conditions,,
E-MTAB-1404,differential,Mus musculus,Differential expression comparing conditions,,
E-MTAB-6929,differential,Mus musculus,Differential expression comparing diet,,diet
E-MTAB-76,differential,Mus musculus,"Differential expression comparing treatment, strain",,"treatment, strain"
E-GEOD-57449,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-70843,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-722,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-20756,differential,Arabidopsis thaliana,Differential expression comparing compound,,compound
E-GEOD-26848,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-30818,differential,Oryza sativa,Differential expression comparing conditions,,
E-GEOD-41647,differential,Oryza sativa Indica Group,Differential expression comparing environmental stress,,environmental stress
E-GEOD-46086,differential,Oryza sativa,Differential expression comparing conditions,,
E-MTAB-104,differential,Rattus norvegicus,"Differential expression comparing disease, injury",,"disease, injury"
E-TABM-1205,differential,Mus musculus,Differential expression comparing compound,,compound
E-MTAB-1519,differential,Mus musculus,Differential expression comparing treatment,,treatment
E-GEOD-66935,differential,Oryza sativa Japonica Group,"Differential expression comparing treatment, compound",,"treatment, compound"
E-GEOD-29967,differential,Oryza sativa,Differential expression comparing conditions,,
E-MTAB-657,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-46867,differential,Oryza sativa Japonica Group,Differential expression comparing organism part,,organism part
E-GEOD-49818,differential,Oryza sativa Japonica Group,Differential expression comparing growth condition,,growth condition
E-GEOD-50952,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-GEOD-52298,differential,Arabidopsis thaliana,Differential expression comparing organism part,,organism part
E-GEOD-61832,differential,Oryza sativa,Differential expression comparing treatment,,treatment
E-GEOD-64228,differential,Hordeum vulgare,Differential expression comparing conditions,,
E-GEOD-69010,differential,Oryza sativa Japonica Group,Differential expression comparing conditions,,
E-GEOD-7796,differential,Arabidopsis thaliana,Differential expression comparing conditions,,
E-MEXP-1766,differential,Oryza sativa,Differential expression comparing conditions,,
